ticker,company_name,cik,github_owner,huggingface_author,value_chain_bucket,product_focus,include_in_research,identifier_source,primary_stage,secondary_segment,secondary_exposure,upstream_dependencies,downstream_customers,include_in_dashboard,universe_tier
DLR,Digital Realty Trust,0001297996,,,data_centers,Data-center capacity and interconnection,true,sec_company_tickers,upstream,data_centers,Colocation and hyperscale capacity,Power land and cooling,Cloud providers and enterprises,false,extended
EQIX,Equinix,0001101239,,,data_centers,Colocation and digital interconnection,true,sec_company_tickers,upstream,data_centers,Network-dense colocation,Power land and cooling,Cloud providers and enterprises,false,extended
ETN,Eaton,0001551182,,,power_cooling,Electrical systems for data centers,true,sec_company_tickers,upstream,data_center_power_cooling,Power management,Electrical components and raw materials,Data-center operators,false,extended
HPE,Hewlett Packard Enterprise,0001645590,,,ai_servers,AI servers networking and hybrid cloud,true,sec_company_tickers,upstream,ai_servers,Enterprise infrastructure,Accelerators memory and networking,Enterprises and service providers,false,extended
IBM,International Business Machines,0000051143,,,cloud_model_platform,Hybrid cloud and enterprise AI,true,sec_company_tickers,midstream,cloud_platform,Enterprise software and consulting,Compute and model infrastructure,Enterprises and governments,false,extended
INTC,Intel,0000050863,,,compute_foundry,AI compute and semiconductor foundry,true,sec_company_tickers,upstream,ai_compute,Foundry and CPUs,Equipment and memory,Cloud enterprise and device makers,false,extended
KLAC,KLA,0000319201,,,semiconductor_equipment,Process control equipment,true,sec_company_tickers,upstream,semiconductor_equipment,Inspection and metrology,Precision components,Foundries and memory makers,false,extended
LRCX,Lam Research,0000707549,,,semiconductor_equipment,Wafer fabrication equipment,true,sec_company_tickers,upstream,semiconductor_equipment,Etch and deposition,Precision components,Foundries and memory makers,false,extended
MRVL,Marvell Technology,0001835632,,,semiconductor_networking,Custom silicon and data-center networking,true,sec_company_tickers,upstream,custom_silicon_networking,Optical and storage connectivity,Foundry and packaging,Cloud and infrastructure customers,false,extended
PANW,Palo Alto Networks,0001327567,,,enterprise_security,AI-enabled network and cloud security,true,sec_company_tickers,downstream,enterprise_ai_applications,Cybersecurity platform,Cloud and model platforms,Enterprises and governments,false,extended
QCOM,Qualcomm,0000804328,,,edge_compute,Edge AI compute and connectivity,true,sec_company_tickers,upstream,ai_compute,Mobile and edge platforms,Foundry and memory,Device makers and enterprises,false,extended
SMCI,Super Micro Computer,0001375365,,,ai_servers,AI server systems and rack integration,true,sec_company_tickers,upstream,ai_servers,Liquid-cooled rack systems,Accelerators memory and networking,Cloud and enterprise customers,false,extended
SNPS,Synopsys,0000883241,,,semiconductor_design_software,EDA and silicon IP,true,sec_company_tickers,upstream,semiconductor_design_software,Silicon IP,Compute infrastructure,Chip designers and systems companies,false,extended
VRT,Vertiv Holdings,0001674101,,,power_cooling,Data-center power and thermal management,true,sec_company_tickers,upstream,data_center_power_cooling,Thermal systems,Electrical components and raw materials,Data-center operators,false,extended
VST,Vistra,0001692819,,,power_generation,Power generation for data-center demand,true,sec_company_tickers,upstream,power_generation,Long-term power contracts,Grid and generation assets,Data centers and utilities,false,extended
